user_id,chatter_login
190835892,13revolver
190835892,13t2254
190835892,13zeroize
190835892,13zwei
190835892,140427
190835892,1412kld
190835892,14239
190835892,1431kong
190835892,1472kboy
190835892,14992001
190835892,14shsh
190835892,150411
190835892,151891
190835892,15378482
190835892,1595wow
190835892,15gg15ff
190835892,15jj0525
190835892,15water57rocket
190835892,15x14862
190835892,15yjcho
190835892,1600white
190835892,161109
190835892,161161kt
190835892,161699
190835892,1643474356qq
190835892,1672006951
190835892,167236
190835892,169joe
190835892,16kwj
190835892,16too
190835892,171126
190835892,1720ywon
190835892,17338495
190835892,175hiz
190835892,1770jun
190835892,17823574
190835892,17872
190835892,17mawanna
190835892,17minegyung
190835892,17sleety
190835892,180_72_23
190835892,1818a18
190835892,181aurelius
190835892,1827329
190835892,183102oo
190835892,1836839
190835892,1874avfc
190835892,1891136
190835892,18bonobono
190835892,18ucola8793
190835892,190923
190835892,19283747757
190835892,19285647
190835892,195623z
190835892,1983kej
190835892,19840902
190835892,19920413
190835892,1992yh
190835892,1995ksh
190835892,19961219
190835892,1997best
190835892,1998angchi
190835892,1998ngc
190835892,19__98_
190835892,19uper
190835892,19yhkim
190835892,1_2_3_4perfeccion_ruben
190835892,1a2a3a
190835892,1abca1
190835892,1acidem
190835892,1amin4
190835892,1arbiter
190835892,1astdance
190835892,1ate_gg
190835892,1beatles2
190835892,1boxmod
190835892,1byy1b1byy
190835892,1cvmax1
190835892,1day1cuf
190835892,1day1lol
190835892,1dksgo
190835892,1egnqwo4
190835892,1ekkoking
190835892,1guswls9
190835892,1gwon
190835892,1ilho5
190835892,1ki2ki
190835892,1leesw
190835892,1lovekorea
190835892,1man1206
190835892,1molang8
190835892,1n001
190835892,1nan1ty
190835892,1nonly00
190835892,1o0s1t4
190835892,1parktjdwn
190835892,1poq1
190835892,1pungirl
190835892,1q2a3z1
190835892,1q2w3e4r07
190835892,1q2w3e4rzzzzz
190835892,1rang
190835892,1ritaron8
190835892,1seeyou1
190835892,1sejoon1
190835892,1skewy
190835892,1stone1234
190835892,1tano
190835892,1tjwls
190835892,1vin1xd
190835892,1vki
190835892,1wdc2efv
190835892,1weakluck1
190835892,1worjs
190835892,1wta
